FrameNo,head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
0,0.7803995013237,0.6083807945251465,0,0.9386914968490601,0.7124587893486023,0,0.9794763922691345,0.5987975597381592,0,0.7077109217643738,0.687508225440979,0,0.5607414841651917,0.7970607280731201,0,0.9581045508384705,0.43114525079727173,0,0.5511986017227173,0.7723747491836548,0,0.767704427242279,0.930088460445404,0,0.6380704641342163,0.8895403146743774,0,0.5923465490341187,0.8571836948394775,0,0.4652291536331177,0.842179536819458,0,0.45658573508262634,1.0096856355667114,0,0.2690642178058624,0.8542155027389526,0
1,0.7935230135917664,0.5785675048828125,0,0.9570968151092529,0.7073389291763306,0,0.974727988243103,0.587376594543457,0,0.7428690791130066,0.6887738108634949,0,0.5803840160369873,0.7643913626670837,0,0.7928697466850281,0.6399844884872437,0,0.7532958984375,0.6237247586250305,0,0.8884928226470947,0.885523796081543,0,0.7131277322769165,0.8640812635421753,0,0.7616168856620789,0.8588168621063232,0,0.5298137664794922,0.8246172666549683,0,0.5178307294845581,0.8484835028648376,0,0.3628946542739868,0.8566688895225525,0
2,0.7912012934684753,0.5894054174423218,0,0.9360966682434082,0.7274595499038696,0,0.5814461708068848,0.8610019683837891,0,0.7009711265563965,0.6735255718231201,0,0.5537856817245483,0.778980016708374,0,0.748062014579773,0.7024673819541931,0,0.533306360244751,0.7748993635177612,0,0.7629088163375854,0.9293404817581177,0,0.6065042018890381,0.8829596042633057,0,0.5603434443473816,0.8491911888122559,0,0.45771628618240356,0.8461176753044128,0,0.3321441411972046,0.8496807813644409,0,0.27126544713974,0.8515573740005493,0
3,0.8045767545700073,0.5696781873703003,0,0.9370622038841248,0.6890605688095093,0,0.5700961351394653,0.8606002330780029,0,0.7064095735549927,0.6722375154495239,0,0.5643583536148071,0.7710069417953491,0,0.8224872946739197,0.6294703483581543,0,0.7506604194641113,0.6299707293510437,0,0.8581737875938416,0.8669599294662476,0,0.6653082370758057,0.802343487739563,0,0.7721304297447205,0.8491442203521729,0,0.5302113890647888,0.8201652765274048,0,0.5567264556884766,0.8456442356109619,0,0.4439104199409485,0.8504533767700195,0
4,0.7993772029876709,0.5712718963623047,0,0.9337977766990662,0.6927193999290466,0,0.5678252577781677,0.8622540235519409,0,0.7256113886833191,0.6590876579284668,0,0.6604575514793396,0.6612579226493835,0,0.8369441032409668,0.6240840554237366,0,0.7535531520843506,0.6138004064559937,0,0.8538792133331299,0.8673337697982788,0,0.6868929266929626,0.7590595483779907,0,0.7770143747329712,0.8470867872238159,0,0.5544065833091736,0.763453483581543,0,0.5472109317779541,0.7823599576950073,0,0.5236485004425049,0.7991839647293091,0
5,0.7914275527000427,0.577600359916687,0,0.8881345987319946,0.7323695421218872,0,0.566029965877533,0.8667609691619873,0,0.6988271474838257,0.6665098071098328,0,0.5527361631393433,0.7726361751556396,0,0.36413073539733887,0.8533310890197754,0,0.34747445583343506,0.8324024081230164,0,0.7098592519760132,0.9092515707015991,0,0.5858907699584961,0.8407547473907471,0,0.558423638343811,0.8464059829711914,0,0.4893319308757782,0.8197119235992432,0,0.33137309551239014,0.8477425575256348,0,0.2622886300086975,0.8503355979919434,0
6,0.8180724382400513,0.55965656042099,0,0.9697550535202026,0.6349194645881653,0,0.9742913246154785,0.5834494829177856,0,0.7427445650100708,0.6573774218559265,0,0.6692177057266235,0.6480457782745361,0,0.848470151424408,0.5420238375663757,0,0.7616238594055176,0.6290467977523804,0,0.8581966757774353,0.7123994827270508,0,0.7075560092926025,0.6910969614982605,0,0.6887204051017761,0.6576347351074219,0,0.5576878190040588,0.7672833204269409,0,0.5461323261260986,0.7849259376525879,0,0.5232526659965515,0.8001405596733093,0
7,0.7905553579330444,0.5711907148361206,0,0.9300186634063721,0.7117468118667603,0,0.5670143961906433,0.8650135397911072,0,0.6993935108184814,0.6726483106613159,0,0.555483877658844,0.77492755651474,0,0.8009900450706482,0.6410064697265625,0,0.35102248191833496,0.8342076539993286,0,0.7378172874450684,0.9133626222610474,0,0.5929268002510071,0.8640463352203369,0,0.5583430528640747,0.8455266952514648,0,0.49274539947509766,0.823720395565033,0,0.332768976688385,0.8485938310623169,0,0.3373655080795288,0.8441295027732849,0
8,0.8143431544303894,0.5710507035255432,0,0.9356108903884888,0.6371117234230042,0,0.906745433807373,0.5990468263626099,0,0.7625001668930054,0.6598469018936157,0,0.7065085172653198,0.6320664882659912,0,0.8793493509292603,0.5059258341789246,0,0.7627518177032471,0.6265008449554443,0,0.8667395114898682,0.6866967082023621,0,0.7287650108337402,0.6865403652191162,0,0.7018915414810181,0.6677310466766357,0,0.560207188129425,0.764316201210022,0,0.5541470050811768,0.7789878845214844,0,0.5474308133125305,0.7730728387832642,0
9,0.7992259860038757,0.5757623910903931,0,0.9374099969863892,0.7017433643341064,0,0.5609635710716248,0.8607680201530457,0,0.6942951679229736,0.6707518100738525,0,0.5451725721359253,0.7734872102737427,0,0.8013388514518738,0.6371274590492249,0,0.3445577025413513,0.8298032283782959,0,0.7866473197937012,0.9104087352752686,0,0.6111637949943542,0.8432133197784424,0,0.7251449823379517,0.8488755226135254,0,0.5228061079978943,0.8139054179191589,0,0.4986942410469055,0.8486704230308533,0,0.35728025436401367,0.8468228578567505,0
10,0.8003859519958496,0.575778067111969,0,0.8994802832603455,0.7078748941421509,0,0.5608243942260742,0.8637279868125916,0,0.7223646640777588,0.66583251953125,0,0.6265584826469421,0.7125045657157898,0,0.7686526775360107,0.632479727268219,0,0.7165703773498535,0.6374046802520752,0,0.7347787618637085,0.8583956956863403,0,0.6280023455619812,0.8013806343078613,0,0.5663120150566101,0.8459658622741699,0,0.5381227731704712,0.8159527778625488,0,0.5049993395805359,0.8454195857048035,0,0.37777337431907654,0.8466956615447998,0
11,0.8031836748123169,0.5703089237213135,0,0.9384413957595825,0.6867139339447021,0,0.5638744831085205,0.8606400489807129,0,0.7019706964492798,0.6693382263183594,0,0.5593242645263672,0.7679686546325684,0,0.7988013029098511,0.6286527514457703,0,0.34619927406311035,0.8349450826644897,0,0.8120322227478027,0.8575960993766785,0,0.646616518497467,0.8024083375930786,0,0.748374879360199,0.8490521907806396,0,0.5351121425628662,0.8155503273010254,0,0.5236192941665649,0.8349481821060181,0,0.35248082876205444,0.8226675391197205,0
12,0.793379545211792,0.5884101390838623,0,0.8835486173629761,0.7238969206809998,0,0.5657325983047485,0.8632388114929199,0,0.7145109176635742,0.6630189418792725,0,0.5684504508972168,0.7537495493888855,0,0.7201001048088074,0.6465780735015869,0,0.34623250365257263,0.8285648226737976,0,0.6929302215576172,0.9058868288993835,0,0.5909085273742676,0.8355227708816528,0,0.5615962147712708,0.8522289991378784,0,0.49432501196861267,0.8205581903457642,0,0.35876762866973877,0.850984513759613,0,0.3351992070674896,0.8399390578269958,0
13,0.7945375442504883,0.5763968825340271,0,0.9076805114746094,0.707370400428772,0,0.5647907257080078,0.8639533519744873,0,0.6970384120941162,0.6603728532791138,0,0.5481579303741455,0.7687956690788269,0,0.7243835926055908,0.6447136998176575,0,0.3472430109977722,0.8275853991508484,0,0.7563948631286621,0.8723563551902771,0,0.6208904385566711,0.7968358397483826,0,0.6929521560668945,0.8502850532531738,0,0.5288649797439575,0.7961969375610352,0,0.4379841685295105,0.8465332984924316,0,0.3451341390609741,0.825107216835022,0
